date,home_team,away_team,stage,tournament,city,country,neutral,home_score,away_score
2024-06-14,Germany,Scotland,group A,UEFA Euro,Munich,Germany,FALSE,5,1
2024-06-15,Hungary,Switzerland,group A,UEFA Euro,Cologne,Germany,TRUE,1,3
2024-06-15,Spain,Croatia,group B,UEFA Euro,Berlin,Germany,TRUE,3,0
2024-06-15,Italy,Albania,group B,UEFA Euro,Dortmund,Germany,TRUE,2,1
2024-06-16,Slovenia,Denmark,group C,UEFA Euro,Stuttgart,Germany,TRUE,1,1
2024-06-16,Serbia,England,group C,UEFA Euro,Gelsenkirchen,Germany,TRUE,0,1
2024-06-16,Poland,Netherlands,group D,UEFA Euro,Hamburg,Germany,TRUE,1,2
2024-06-17,Austria,France,group D,UEFA Euro,Düsseldorf,Germany,TRUE,0,1
2024-06-17,Romania,Ukraine,group E,UEFA Euro,Munich,Germany,TRUE,3,0
2024-06-17,Belgium,Slovakia,group E,UEFA Euro,Frankfurt,Germany,TRUE,0,1
2024-06-18,Turkey,Georgia,group F,UEFA Euro,Dortmund,Germany,TRUE,3,1
2024-06-18,Portugal,Czech Republic,group F,UEFA Euro,Leipzig,Germany,TRUE,2,1
2024-06-19,Germany,Hungary,group A,UEFA Euro,Stuttgart,Germany,FALSE,2,0
2024-06-19,Scotland,Switzerland,group A,UEFA Euro,Cologne,Germany,TRUE,1,1
2024-06-19,Croatia,Albania,group B,UEFA Euro,Hamburg,Germany,TRUE,2,2
2024-06-20,Spain,Italy,group B,UEFA Euro,Gelsenkirchen,Germany,TRUE,1,0
2024-06-20,Slovenia,Serbia,group C,UEFA Euro,Munich,Germany,TRUE,1,1
2024-06-20,Denmark,England,group C,UEFA Euro,Frankfurt,Germany,TRUE,1,1
2024-06-21,Poland,Austria,group D,UEFA Euro,Berlin,Germany,TRUE,1,3
2024-06-21,Netherlands,France,group D,UEFA Euro,Leipzig,Germany,TRUE,0,0
2024-06-21,Slovakia,Ukraine,group E,UEFA Euro,Düsseldorf,Germany,TRUE,1,2
2024-06-22,Belgium,Romania,group E,UEFA Euro,Cologne,Germany,TRUE,2,0
2024-06-22,Georgia,Czech Republic,group F,UEFA Euro,Hamburg,Germany,TRUE,1,1
2024-06-22,Turkey,Portugal,group F,UEFA Euro,Dortmund,Germany,TRUE,0,3
2024-06-23,Germany,Switzerland,group A,UEFA Euro,Frankfurt,Germany,FALSE,1,1
2024-06-23,Scotland,Hungary,group A,UEFA Euro,Stuttgart,Germany,TRUE,0,1
2024-06-24,Albania,Spain,group B,UEFA Euro,Düsseldorf,Germany,TRUE,0,1
2024-06-24,Croatia,Italy,group B,UEFA Euro,Leipzig,Germany,TRUE,1,1
2024-06-25,England,Slovenia,group C,UEFA Euro,Cologne,Germany,TRUE,0,0
2024-06-25,Denmark,Serbia,group C,UEFA Euro,Munich,Germany,TRUE,0,0
2024-06-25,Netherlands,Austria,group D,UEFA Euro,Berlin,Germany,TRUE,2,3
2024-06-25,France,Poland,group D,UEFA Euro,Dortmund,Germany,TRUE,1,1
2024-06-26,Slovakia,Romania,group E,UEFA Euro,Frankfurt,Germany,TRUE,1,1
2024-06-26,Ukraine,Belgium,group E,UEFA Euro,Stuttgart,Germany,TRUE,0,0
2024-06-26,Georgia,Portugal,group F,UEFA Euro,Gelsenkirchen,Germany,TRUE,2,0
2024-06-26,Czech Republic,Turkey,group F,UEFA Euro,Hamburg,Germany,TRUE,1,2
2024-06-29,Switzerland,Italy,round of 16,UEFA Euro,Berlin,Germany,TRUE,2,0
2024-06-29,Germany,Denmark,round of 16,UEFA Euro,Dortmund,Germany,FALSE,2,0
2024-06-30,England,Slovakia,round of 16,UEFA Euro,Gelsenkirchen,Germany,TRUE,2,1
2024-06-30,Spain,Georgia,round of 16,UEFA Euro,Cologne,Germany,TRUE,4,1
2024-07-01,France,Belgium,round of 16,UEFA Euro,Düsseldorf,Germany,TRUE,1,0
2024-07-01,Portugal,Slovenia,round of 16,UEFA Euro,Frankfurt,Germany,TRUE,0,0
2024-07-02,Romania,Netherlands,round of 16,UEFA Euro,Munich,Germany,TRUE,0,3
2024-07-02,Austria,Turkey,round of 16,UEFA Euro,Leipzig,Germany,TRUE,1,2
2024-07-05,Germany,Spain,quarter finals,UEFA Euro,Stuttgart,Germany,FALSE,1,2
2024-07-05,Portugal,France,quarter finals,UEFA Euro,Hamburg,Germany,TRUE,0,0
2024-07-06,England,Switzerland,quarter finals,UEFA Euro,Düsseldorf,Germany,TRUE,1,1
2024-07-06,Netherlands,Turkey,quarter finals,UEFA Euro,Berlin,Germany,TRUE,2,1
2024-07-09,Spain,France,semi finals,UEFA Euro,Munich,Germany,TRUE,2,1
2024-07-10,Netherlands,England,semi finals,UEFA Euro,Dortmund,Germany,TRUE,1,2
2024-07-14,England,Netherlands,final,UEFA Euro,Berlin,Germany,TRUE,,
